UID;eStateEval;duration;activeSample;mUraw;mUoffset;mU;mUconfidence;transCorrMean;AssayType;Notes;TempDataLog;TempCH3;TransHigh;SamTrans;SamFluor
1758697821;0;391.99103;1;10.243925;3.2718918;6.9720335;0.999526;0.8170643;300;Tartu;34.06;27.67;0.0;2.8147;0.5518
1758701419;0;392.04205;1;9.795685;3.2718918;6.523793;0.99939305;0.8175811;300;Tartu;35.63;27.09;0.0;2.8022;0.5496
1758705020;0;391.99695;1;9.655157;3.2718918;6.3832655;0.9992214;0.8179292;300;Tartu;36.94;26.44;0.0;2.8109;0.5487
1758708621;0;392.00208;1;9.7398815;3.2718918;6.46799;0.9998041;0.81429607;300;Tartu;37.75;25.69;0.0;2.8047;0.5435
1758712220;0;392.0;1;9.039508;3.2718918;5.7676163;0.9997237;0.8162333;300;Tartu;38.69;24.5;0.0;2.7996;0.5459
1758713808;0;392.036;0;3.1761172;0.0;3.1761172;0.998603;0.97459894;300;;39.0;24.18;0.0;0.0;0.0
1758715821;0;391.979;1;9.114737;3.1761172;5.9386196;0.99980557;0.8150714;300;Tartu;39.25;23.85;0.0;2.8048;0.5459
1758719419;0;391.99506;1;8.941427;3.1761172;5.7653103;0.9997815;0.81453353;300;Tartu;38.81;23.96;0.0;2.7963;0.5436
1758723021;0;392.005;1;8.869551;3.1761172;5.693434;0.9998848;0.81521124;300;Tartu;38.44;24.24;0.0;2.7998;0.5429
1758726621;0;391.99695;1;8.764726;3.1761172;5.5886087;0.9998594;0.8143626;300;Tartu;38.13;24.27;0.0;2.7952;0.5459
1758730221;0;392.00104;1;8.179377;3.1761172;5.0032597;0.9997581;0.8138096;300;Tartu;37.56;24.37;0.0;2.7923;0.5452
1758733821;0;391.99896;1;7.972528;3.1761172;4.7964106;0.99948823;0.814254;300;Tartu;36.5;24.75;0.0;2.7934;0.5506
1758737419;0;391.98895;1;8.3409;3.1761172;5.1647835;0.9995473;0.8154203;300;Tartu;35.5;25.42;0.0;2.7992;0.55289996
1758741020;0;392.031;1;8.83354;3.1761172;5.657423;0.99948597;0.81589246;300;Tartu;34.69;25.98;0.0;2.8097;0.5558
1758744621;0;391.99103;1;9.205544;3.1761172;6.0294275;0.9994391;0.8162586;300;Tartu;34.0;26.62;0.0;2.7984;0.5562
1758748220;0;391.992;1;9.167607;3.1761172;5.9914904;0.99963546;0.8160532;300;Tartu;33.44;27.14;0.0;2.7969;0.5563
1758751820;0;391.99292;1;8.842727;3.1761172;5.66661;0.9991964;0.8164003;300;Tartu;32.81;27.57;0.0;2.80375;0.5573
1758755421;0;391.99603;1;8.89145;3.1761172;5.715333;0.9988872;0.8164143;300;Tartu;32.31;27.73;0.0;2.8034;0.5566
1758759019;0;391.997;1;8.690988;3.1761172;5.5148706;0.998786;0.81689835;300;Tartu;31.88;27.92;0.0;2.7965;0.5585
1758762620;0;391.99792;1;8.911883;3.1761172;5.7357664;0.99873334;0.8167678;300;Tartu;31.44;28.24;0.0;2.7978;0.5592
1758766221;0;391.99902;1;8.640815;3.1761172;5.464698;0.9986419;0.81599766;300;Tartu;31.06;28.53;0.0;2.7973;0.5592
1758769821;0;391.99597;1;8.831689;3.1761172;5.655572;0.998641;0.8161057;300;Tartu;30.75;28.68;0.0;2.7983499;0.56
1758773420;0;392.04596;1;9.388226;3.1761172;6.2121086;0.99899286;0.8151409;300;Tartu;30.44;28.95;0.0;2.7885;0.5596
1758777020;0;391.99805;1;9.778597;3.1761172;6.60248;0.9988021;0.8144836;300;Tartu;30.31;29.3;0.0;2.7922;0.5615
1758780621;0;391.99194;1;10.499587;3.1761172;7.32347;0.9990014;0.81488013;300;Tartu;31.0;29.57;0.0;2.79425;0.56
1758784219;0;393.998;1;10.737565;3.1761172;7.561448;0.99934745;0.815708;300;Tartu;32.38;29.2;0.0;2.7966;0.5593
1758787820;0;392.04303;1;10.028745;3.1761172;6.8526278;0.99930984;0.81495744;300;Tartu;34.13;28.28;0.0;2.7926;0.5553
1758791421;0;391.992;1;10.051218;3.1761172;6.875101;0.9994369;0.8148525;300;Tartu;35.81;27.53;0.0;2.794;0.5532
1758795019;0;391.99902;1;9.523583;3.1761172;6.3474665;0.9996532;0.814351;300;Tartu;37.13;26.65;0.0;2.7942;0.5484
1758798621;0;392.00397;1;9.369151;3.1761172;6.193034;0.9995336;0.8097121;300;Tartu;38.69;25.35;0.0;2.7789;0.5443
1758800207;0;392.03003;0;3.1620128;0.0;3.1620128;0.9989513;0.974424;300;;39.19;24.94;0.0;0.0;0.0
1758802221;0;392.024;1;9.03003;3.1620128;5.868017;0.99974096;0.8118472;300;Tartu;39.5;24.31;0.0;2.7883;0.5447
1758805821;0;392.00403;1;8.867729;3.1620128;5.705716;0.99992245;0.8130255;300;Tartu;39.19;24.29;0.0;2.78305;0.543
